id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell,lysosome_signal_individual,cell_signal_total,lysosome_core_signal,cell_volume_um3,lysosome_core_volume_um3,cell_id_serial,lys_id_serial
1,2.21,13.434718,2.6784406,0.233046755194664,0.466093510389328,0.05301732245133052,11715,13,cell,3,3,2,1788543.0,47073376.0,10963366.0,15.771365598102166,1.2770485801681917,3,2
2,5.9500003,11.479032,15.305375,0.24167336523532867,0.48334673047065735,0.05912552063206408,8295,35,cell,4,4,7,1313021.0,26634064.0,2539147.0,21.0215224895251,0.39915450087547666,4,7
3,3.91,15.390405,1.4880226,0.24450257420539856,0.4890051484107971,0.06122642713584156,7968,23,cell,3,3,8,1318681.0,47073376.0,10963366.0,15.771365598102166,1.2770485801681917,3,8
4,7.82,21.172436,7.0149636,0.22243455052375793,0.44486910104751587,0.046099408102334524,6902,46,cell,7,7,1,849973.0,22279852.0,2857203.0,16.935643045228556,0.3395425122920721,7,1
5,2.21,13.5622635,1.9556868,0.4,0.8,0.26808257310632905,5979,13,cell,3,3,3,2710347.0,47073376.0,10963366.0,15.771365598102166,1.2770485801681917,3,3
6,4.25,14.540107,2.3383212,0.18618036806583405,0.3723607361316681,0.027032752170196038,5074,25,cell,3,3,9,323622.0,47073376.0,10963366.0,15.771365598102166,1.2770485801681917,3,9
7,2.04,14.114957,2.8485005,0.398,0.796,0.2640814071923955,5125,12,cell,3,3,1,2497824.0,47073376.0,10963366.0,15.771365598102166,1.2770485801681917,3,1
8,5.44,21.21495,14.497592,0.23468071222305298,0.46936142444610596,0.05414031796065265,4374,32,cell,5,5,6,672546.0,23521564.0,2080845.0,23.735404361528342,0.2725558447086588,5,6
9,5.9500003,10.416158,17.856272,0.2042505294084549,0.4085010588169098,0.03569259975193603,3974,35,cell,4,4,6,357596.0,26634064.0,2539147.0,21.0215224895251,0.39915450087547666,4,6
10,3.06,23.085608,5.356881,0.2241286337375641,0.4482572674751282,0.04716074320195322,4031,18,cell,2,2,2,504067.0,15179480.0,3709274.0,13.536223304516163,0.6867669818758201,2,2
11,4.25,22.575428,11.819151,0.27897775173187256,0.5579555034637451,0.09094887246422585,3938,25,cell,5,5,2,973173.0,23521564.0,2080845.0,23.735404361528342,0.2725558447086588,5,2
12,3.4,16.580824,3.10359,0.27353522181510925,0.5470704436302185,0.08572912244464867,3964,20,cell,3,3,5,947814.0,47073376.0,10963366.0,15.771365598102166,1.2770485801681917,3,5
13,4.76,22.74549,5.9520903,0.2540671229362488,0.5081342458724976,0.06869640626066081,3619,28,cell,2,2,8,645886.0,15179480.0,3709274.0,13.536223304516163,0.6867669818758201,2,8
14,1.87,19.556868,28.314945,0.19401508569717407,0.38803017139434814,0.030591101084573247,2858,11,cell,1,1,3,214648.0,99397.0,1002025.0,0.08849614800010568,0.302054560708694,1,3
15,8.33,23.850876,9.14071,0.2927386164665222,0.5854772329330444,0.10508207915447745,3265,49,cell,7,7,4,890802.0,22279852.0,2857203.0,16.935643045228556,0.3395425122920721,7,4
16,8.33,23.595787,9.523345,0.28484994173049927,0.5696998834609985,0.09681374368583871,3006,49,cell,7,7,3,745352.0,22279852.0,2857203.0,16.935643045228556,0.3395425122920721,7,3
17,3.06,22.958063,5.9095755,0.396,0.792,0.26012025260249794,2921,18,cell,2,2,1,1369756.0,15179480.0,3709274.0,13.536223304516163,0.6867669818758201,2,1
18,6.29,22.15028,30.143085,0.2724577486515045,0.544915497303009,0.08472002989161785,2753,37,cell,6,6,7,631146.0,5762171.0,2954541.0,3.349640657462333,0.5715376225006825,6,7
19,5.61,7.6101727,15.51795,0.16864165663719177,0.33728331327438354,0.02009015043373153,2148,33,cell,4,4,3,79088.0,26634064.0,2539147.0,21.0215224895251,0.39915450087547666,4,3
20,5.1,20.832315,12.32933,0.22263707220554352,0.44527414441108704,0.046225440221263486,2133,30,cell,5,5,4,285011.0,23521564.0,2080845.0,23.735404361528342,0.2725558447086588,5,4
21,8.84,24.190996,9.735919,0.2021324187517166,0.4042648375034332,0.034593661213242595,2359,52,cell,7,7,5,219917.0,22279852.0,2857203.0,16.935643045228556,0.3395425122920721,7,5
